Query,RetrievedDocuments
50001.query,VOM19980317.0900.1955 
50002.query,VOM19980616.0900.0137 
50003.query,VOM19980326.0900.1939 
50004.query,VOM19980630.0730.0002 
50005.query,VOM19980630.0730.0136 
50006.query,VOM19980317.0900.0192 
50007.query,VOM19980225.0900.2949 
50008.query,VOM19980616.0900.0137 
50009.query,VOM19980604.0730.0077 
50010.query,VOM19980220.0700.0166 
50011.query,VOM19980623.0900.0051 
50012.query,VOM19980618.0700.0114 
50013.query,VOM19980616.0900.0137 
50014.query,VOM19980630.0700.0457 
50015.query,VOM19980302.0700.1233 
50016.query,VOM19980225.0900.0458 
50017.query,VOM19980314.0700.0199 
50018.query,VOM19980527.0700.0163 
50019.query,VOM19980511.0900.0097 
50020.query,VOM19980630.0700.0238 
50021.query,VOM19980223.0700.0765 
50022.query,VOM19980221.0700.2442 
50023.query,VOM19980604.0900.0246 
50024.query,VOM19980619.0900.0136 
50025.query,VOM19980630.0730.0002 
50026.query,VOM19980605.0700.0560 
50027.query,VOM19980319.0700.0352 
50028.query,VOM19980510.0730.0142 
50029.query,VOM19980505.0700.0384 
50030.query,VOM19980317.0900.3350 
50031.query,VOM19980623.0900.0051 
50032.query,VOM19980616.0730.0180 
50033.query,VOM19980619.0900.0136 
50034.query,VOM19980511.0700.0543 
50035.query,VOM19980618.0700.0114 
50036.query,VOM19980316.0900.2774 
50037.query,VOM19980511.0730.0066 
50038.query,VOM19980302.0700.1233 
50039.query,VOM19980527.0700.0042 
50040.query,VOM19980302.0700.1233 
50041.query,VOM19980403.0900.0124 
50042.query,VOM19980616.0900.0137 
50043.query,VOM19980611.0700.0548 
50044.query,VOM19980619.0700.0090 
50045.query,VOM19980505.0700.0344 
50046.query,VOM19980604.0730.0077 
50047.query,VOM19980616.0900.0137 
50048.query,VOM19980316.0900.2774 
50049.query,VOM19980314.0700.0275 
50050.query,VOM19980526.0730.0065 
50051.query,VOM19980616.0900.0137 
50052.query,VOM19980305.0900.0814 
50053.query,VOM19980616.0900.0137 
50054.query,VOM19980605.0700.0560 
50055.query,VOM19980610.0700.0551 
50056.query,VOM19980618.0700.0114 
50057.query,VOM19980605.0700.0560 
50058.query,VOM19980305.0900.1736 
50059.query,VOM19980302.0700.3552 
50060.query,VOM19980507.0900.0191 
50061.query,VOM19980302.0700.1233 
50062.query,VOM19980625.0730.0090 
50063.query,VOM19980505.0700.0344 
50064.query,VOM19980522.0900.0158 
50065.query,VOM19980302.0700.1233 
50066.query,VOM19980522.0900.0158 
50067.query,VOM19980410.0900.0207 
50068.query,VOM19980630.0730.0136 
50069.query,VOM19980630.0700.0071 
50070.query,VOM19980326.0700.2359 
50071.query,VOM19980302.0700.1233 
50072.query,VOM19980228.0700.2873 
50073.query,VOM19980220.0900.0330 
50074.query,VOM19980610.0700.0551 
50075.query,VOM19980403.0700.0129 
50076.query,VOM19980220.0700.0166 
50077.query,VOM19980302.0700.1233 
50078.query,VOM19980302.0700.1233 
50079.query,VOM19980614.0700.0431 
50080.query,VOM19980302.0700.1233 
50081.query,VOM19980403.0900.2034 
50082.query,VOM19980220.0900.2583 
50083.query,VOM19980503.0700.0160 
50084.query,VOM19980410.0900.0241 
50085.query,VOM19980616.0900.0137 
50086.query,VOM19980616.0900.0137 
50087.query,VOM19980604.0700.0157 
50088.query,VOM19980302.0700.1233 
50089.query,VOM19980505.0700.0384 
50090.query,VOM19980504.0700.0222 
50091.query,VOM19980619.0700.0553 
50092.query,VOM19980507.0700.0521 
50093.query,VOM19980319.0700.0352 
50094.query,VOM19980624.0700.0288 
50095.query,VOM19980511.0730.0066 
50096.query,VOM19980225.0900.2949 
50097.query,VOM19980220.0900.2053 
50098.query,VOM19980522.0900.0158 
50099.query,VOM19980319.0700.0352 
50100.query,VOM19980626.0700.0131 
50101.query,VOM19980502.0700.0038 
50102.query,VOM19980315.0700.0180 
50103.query,VOM19980319.0700.0452 
50104.query,VOM19980616.0900.0137 
50105.query,VOM19980302.0700.1233 
50106.query,VOM19980327.0900.1937 
50107.query,VOM19980228.0700.2757 
50108.query,VOM19980630.0700.0238 
50109.query,VOM19980303.0900.0443 
50110.query,VOM19980403.0900.3300 
50111.query,VOM19980224.0700.0299 
50112.query,VOM19980504.0700.0222 
50113.query,VOM19980304.0700.0271 
50114.query,VOM19980302.0700.1233 
50115.query,VOM19980616.0900.0137 
50116.query,VOM19980317.0900.0330 
50117.query,VOM19980220.0900.2583 
50118.query,VOM19980226.0900.3443 
50119.query,VOM19980302.0700.1233 
50120.query,VOM19980305.0900.0332 
50121.query,VOM19980610.0730.0112 
50122.query,VOM19980302.0700.1233 
50123.query,VOM19980505.0700.0344 
50124.query,VOM19980511.0700.0543 
50125.query,VOM19980524.0700.0112 
50126.query,VOM19980302.0700.1233 
50127.query,VOM19980624.0700.0523 
50128.query,VOM19980522.0900.0158 
50129.query,VOM19980222.0700.1986 
50130.query,VOM19980403.0700.1459 
50131.query,VOM19980302.0700.1233 
