Query,RetrievedDocuments
50001.query,VOM19980317.0900.1955 VOM19980317.0900.0152 VOM19980630.0700.0238 VOM19980630.0700.0238 VOM19980630.0900.0105 
50002.query,VOM19980616.0900.0137 VOM19980616.0730.0001 VOM19980505.0700.0438 VOM19980228.0700.1861 VOM19980501.0700.0556 
50003.query,VOM19980326.0900.1939 VOM19980220.0700.1159 VOM19980404.0700.0676 VOM19980305.0900.1736 VOM19980616.0730.0252 
50004.query,VOM19980630.0730.0002 VOM19980630.0900.0005 VOM19980630.0700.0032 VOM19980630.0730.0043 VOM19980630.0700.0071 
50005.query,VOM19980630.0730.0136 VOM19980505.0730.0003 VOM19980614.0700.0302 VOM19980614.0730.0231 VOM19980506.0700.0208 
50006.query,VOM19980317.0900.0192 VOM19980317.0900.0192 VOM19980317.0700.0220 VOM19980319.0700.0452 VOM19980319.0900.0364 
50007.query,VOM19980225.0900.2949 VOM19980222.0700.0302 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980222.0700.1986 
50008.query,VOM19980616.0900.0137 VOM19980616.0730.0001 VOM19980505.0700.0438 VOM19980228.0700.1861 VOM19980501.0700.0556 
50009.query,VOM19980604.0730.0077 VOM19980524.0730.0031 VOM19980531.0730.0076 VOM19980604.0700.0157 VOM19980317.0700.0629 
50010.query,VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 
50011.query,VOM19980623.0900.0051 VOM19980619.0900.0136 VOM19980317.0700.0156 VOM19980627.0730.0001 VOM19980303.0700.0590 
50012.query,VOM19980618.0700.0114 VOM19980403.0900.0619 VOM19980619.0900.0076 VOM19980303.0700.0590 VOM19980620.0730.0003 
50013.query,VOM19980616.0900.0137 VOM19980616.0730.0001 VOM19980505.0700.0438 VOM19980228.0700.1861 VOM19980501.0700.0556 
50014.query,VOM19980630.0700.0457 VOM19980618.0700.0542 VOM19980618.0700.0076 VOM19980618.0700.0076 VOM19980610.0700.0551 
50015.query,VOM19980302.0700.1233 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 
50016.query,VOM19980225.0900.0458 VOM19980521.0900.0254 VOM19980610.0730.0140 VOM19980624.0900.0261 VOM19980302.0900.0368 
50017.query,VOM19980314.0700.0199 VOM19980314.0700.0199 VOM19980302.0900.0510 VOM19980302.0700.2840 VOM19980319.0700.0352 
50018.query,VOM19980527.0700.0163 VOM19980527.0730.0079 VOM19980603.0700.0169 VOM19980404.0700.1788 VOM19980314.0700.1976 
50019.query,VOM19980511.0900.0097 VOM19980526.0730.0098 VOM19980416.0900.0055 VOM19980526.0700.0245 VOM19980526.0900.0153 
